Date,Chennai Positive %
22-May,17.5
23-May,16.6
24-May,16.6
25-May,14.3
26-May,12.5
27-May,9.4
28-May,9.4
29-May,8.9
30-May,8.8
31-May,9.0
01-Jun,8.0
02-Jun,7.2
03-Jun,6.4
04-Jun,6.0
05-Jun,5.9
06-Jun,5.5
07-Jun,4.6
08-Jun,5.0
09-Jun,4.7
10-Jun,3.8
11-Jun,3.5
12-Jun,3.5
13-Jun,3.1
14-Jun,2.5
15-Jun,2.8
16-Jun,2.4
17-Jun,2.0
18-Jun,1.7
19-Jun,1.6
20-Jun,1.6
21-Jun,1.5
22-Jun,1.4
23-Jun,1.4
24-Jun,1.4
25-Jun,1.2
26-Jun,1.1
27-Jun,1.1
28-Jun,1.1
29-Jun,1.1
30-Jun,0.9
01-Jul,0.9
02-Jul,0.9
03-Jul,0.8
04-Jul,0.8
05-Jul,0.8
06-Jul,0.8
07-Jul,0.7
08-Jul,0.7
09-Jul,0.7
10-Jul,0.7
11-Jul,0.7
12-Jul,0.7
13-Jul,0.6
14-Jul,0.6
15-Jul,0.6
16-Jul,0.6
17-Jul,0.6
18-Jul,0.6
19-Jul,0.7
20-Jul,0.6
21-Jul,0.6
22-Jul,0.5
23-Jul,0.6
24-Jul,0.5
25-Jul,0.5
26-Jul,0.5
27-Jul,0.6
28-Jul,0.7
29-Jul,0.7
30-Jul,0.8
31-Jul,0.8
01-Aug,0.7
02-Aug,0.8
03-Aug,0.9
04-Aug,0.8
05-Aug,0.8
06-Aug,0.7
07-Aug,0.8
08-Aug,0.7
09-Aug,0.7
10-Aug,0.8
11-Aug,0.9
12-Aug,0.8
13-Aug,0.8
14-Aug,0.9
15-Aug,0.8
16-Aug,0.8
17-Aug,0.9
18-Aug,0.8
19-Aug,0.8
20-Aug,0.7
21-Aug,0.8
22-Aug,0.7
23-Aug,0.7
24-Aug,0.7
25-Aug,0.7
26-Aug,0.7
27-Aug,0.7
28-Aug,0.8
29-Aug,0.8
30-Aug,0.8
31-Aug,0.8
01-Sep,0.8
02-Sep,0.7
03-Sep,0.7
04-Sep,0.8
05-Sep,0.7
06-Sep,0.8
07-Sep,0.9
08-Sep,0.8
09-Sep,0.9
10-Sep,0.9
11-Sep,0.8
12-Sep,0.9
13-Sep,0.9
14-Sep,1.1
15-Sep,1.0
16-Sep,0.9
17-Sep,0.9
18-Sep,0.9
19-Sep,1.0
20-Sep,1.0
21-Sep,1.0
22-Sep,0.9
23-Sep,1.0
24-Sep,0.9
25-Sep,0.8
26-Sep,0.8
27-Sep,0.9
28-Sep,0.9
29-Sep,0.9
30-Sep,0.8
01-Oct,0.8
02-Oct,0.8
03-Oct,0.9
04-Oct,0.9
05-Oct,1.0
06-Oct,0.8
07-Oct,0.8
08-Oct,0.8
09-Oct,0.8
10-Oct,0.8
11-Oct,0.8
12-Oct,0.8
13-Oct,0.8
14-Oct,0.8
15-Oct,0.8
16-Oct,0.8
17-Oct,0.8
18-Oct,0.8
19-Oct,0.8
20-Oct,0.8
21-Oct,0.8
22-Oct,0.7
23-Oct,0.7
24-Oct,0.7
25-Oct,0.8
26-Oct,0.7
27-Oct,0.7
